layer_name,event_id,event_name,notes,start_date,end_date,icon,color
Les mots de l'accès public,80074,Digital divide,"Terme apparu en 1996, lors des discours de Bill Clinton et Al Gore.
Adapté en français en « fracture numérique » ce terme fait l'objet de nombreuses [remises en cause](http://en.wikipedia.org/wiki/Digital_divide)

Pour une critique « radicale » de la notion de [fracture numérique](http://barthes.ens.fr/articles/Guichard-mythe-fracture-num.pdf)     

",1996,,solid circle,#D4356F
Les mots de l'accès public,80075,Fracture numérique,"Terme apparu en 1996, lors des discours de Bill Clinton et Al Gore.
Adapté en français en « fracture numérique » ce terme fait l'objet de nombreuses [remises en cause](http://en.wikipedia.org/wiki/Digital_divide)

Pour une critique « radicale » de la notion de [fracture numérique](https://barthes.ens.fr/articles/Guichard-mythe-fracture-num.pdf)    
",1996,,solid circle,#D4356F
Les mots de l'accès public,80076,Digital Litteracy,"Ce terme « intraduisible » apparaît en [1997](www.soi.city.ac.uk/~dbawden/digital%20literacy%20chapter.pdf) 
Il se réfère à trois principes : les aptitudes et les connaissances voulues pour utiliser une série de logiciels et d’applications de 
médias numériques; la capacité à comprendre et à jeter un regard critique sur les applications et les contenus des médias numériques ; et les connaissances et les capacités à créer à l’aide de la technologie numérique. 
[Source](http://www.media-awareness.ca) 
",1997,,solid circle,#D4356F
Les mots de l'accès public,80077,e-inclusion,"En 2001, une résolution du Conseil de l'Union Européenne « e-Inclusion: Exploiting the opportunities of the  information society for social inclusion » en pose les principes.
En 2005, un groupe de travail propose un [point « d'étape » complet](http://ec.europa.eu/information_society/eeurope/2005/doc/all_about/kaplan_report_einclusion_final_version.pdf)  
",2001,,solid circle,#D4356F
Les mots de l'accès public,80438,  e-administration,"En 2004, développement du programme ADELE [Administration Électronique 2004/2007](http://fr.wikipedia.org/wiki/ADELE) 
",2004,,solid circle,#D4356F
Les initiatives territoriales,80459,Inforoutes de l'Ardèche,"Le premier centre multimédia a été installé en Ardèche à Guilherand-Granges en novembre 1996. 
Dispositif, financé par le Sivu (40%) et le Conseil général (60%) pour l’équipement, par les communes pour l’animation - 24 centres. 
[Source](http://ccm.e-ardeche.fr/) 
",11/1996,,solid circle,#F56A29
Les initiatives territoriales,80465,CyberCentre,"En 1998, la Région Pays de la Loire lance le programme CyberCentre qui connaît de nouvelles orientations en 2006 (et un changement de nom) pour devenir « Espaces Régionaux Numériques »
[Source](http://ern.paysdelaloire.fr/)
",1998,,solid circle,#F56A29
Les initiatives territoriales,80462,CyberCommune ,"En 1998, la Région Bretagne lance le programme qui est construit autour de 2 phases. 
[Source](http://www.marsouin.org/article.php3?id_article=39) 
",1998,,solid circle,#F56A29
Les initiatives territoriales,80460,Cyber Nord-Pas de Calais,"Le Conseil régional Nord-Pas de Calais a pris en 1998, l’initiative de créer un réseau de points d’accès publics, 200 cyber-centre comme objectif.
[Source](http://www.oten.fr/?article695) 
",1998,,solid circle,#F56A29
Les initiatives territoriales,80466,Limousin,"En 1998, mis en place d'une politique de Points Publics Multimédia (PPM) – [Projet Acticiel 98](http://www.dorsal.fr/download_salle_presse.php?id_salle_presse_dossier_fichiers=21) 
",1998,,solid circle,#F56A29
Les initiatives territoriales,80458,PAPI,"En 98, 11 Points d'Accès Publics à Internet (PAPI) sont ouverts à Brest
[Source](http://www.a-brest.net/article390.html) 
",1998,,solid circle,#F56A29
Les initiatives territoriales,927236,AMI des Landes,"Les Ateliers Multiservices Informatiques coordonnés par l'ALPI (Agence Landaise pour l'Informatique) du Conseil Général des Landes. 
[Source](http://www.landes.org/ateliers-multiservices-informatiques) ",1999,,solid circle,#EB6207
Les initiatives territoriales,80467,Picardie en ligne,"Lancement en 1999 du Programme 
[Source](http://www.picardie-en-ligne.fr/) 
",1999,,solid circle,#F56A29
Les initiatives territoriales,87182,Hérault - LAM 34,"[Source](http://lam34.org/wakka.php?wiki=HistoriquE)

En 2000 le réseau des Lieux d'Accès au Multimédia se structure dans l'Hérault.
En 2011, une [plate-forme d'auto-formation en ligne est ouverte, avec notamment des modules autour du PIM.](http://foad.emploi-coeur-herault.fr/) ",2000,,solid circle,#EB6207
Les initiatives territoriales,80464,P@M,"2000 – Création du réseau des P@M en Corse
[Source](http://mitic.corse.fr/) 
",2000,,solid circle,#F56A29
Les initiatives territoriales,80468,ERIC,"En 2001, création par la Région PACA des Espaces Régionaux de l'Internet Citoyen
[Source](http://eric.regionpaca.fr/article.php3?id_article=94) 
",2001,,solid circle,#F68121
Les initiatives territoriales,80929,RATICE Loire,"EN 2001, naissance du collectif : Réseau d'Animation des Technologies de l'Information et des Communication Éducative de la Loire	
[Source](http://raticeloire.org/blog/vie_association/)",2001,,solid circle,#ED7113
Les initiatives territoriales,80469,MidiPy,"Novembre 2001 - Programme d’Actions Régional pour la Société de l’Information (PARSI) dans le cadre duquel les missions de l'ARDESI sont  affinées
[Source](www.ardesi.fr) 
",11/2001,,solid circle,#F56A29
Les initiatives territoriales,80470,CyberCases,"Ouverture à la Réunion des 1ères CyberCases en 2002
[Source](www.regionreunion.com/fr/spip/IMG/pdf/RegionTIC.pdf) 
",2002,,solid circle,#F56A29
Les initiatives territoriales,80471,Essone,"Le réseau des Espaces Publics Numériques en Essonne est lancé en 2002. 

[Source](http://www.artesi-idf.com/article.php?artno=4527&headLine=srubri) 

",2002,,solid circle,#F56A29
Les initiatives territoriales,80472,Région Centre,"2003 - Création du GIP  « RECIA » (Région Centre Interactive) avec un volet « Appui aux EPN »
[Source](http://www.recia.fr/article/archive/25/) 
",2003,,solid circle,#F56A29
Les initiatives territoriales,80473,CTN ,"2004 - Création du Centre de ressources régional pour les Espaces Publics Numériques de Basse-Normandie.
Intégration aux services de la Région en 2009 
[Source](http://epn.region-basse-normandie.fr/)
",2004,,solid circle,#F56A29
Les initiatives territoriales,80475,Lot,"En 2005, mise en place structurée d'une animation du réseau d'EPN dans le Lot
[Source](http://www.epm.lot.fr/spip.php?article45) 
",2005,,solid circle,#F56A29
Les initiatives territoriales,80476,Manche Numérique,"En 2005, programme de soutien aux EPN, notamment pour des téléservices
[Source](http://www.netpublic.fr/net-public/espaces-publics-numeriques/presentation/)",2005,,solid circle,#F56A29
Les initiatives territoriales,80474,Poitou-Charentes,"Début du soutien aux EPN en 2005
""Source:""http://www.poitou-charentes.fr/tic-infrastructures/tic/plan-numerique/acces-aux-usages 
",2005,,solid circle,#F56A29
Les initiatives territoriales,80477,Réseau EPN Paris,"Janvier 2007 – Création du réseau des EPN parisiens, ce prend en partie l'animation du réseau PARVI
[Source](http://www.creatif-public.net/article936.html) 
",01/2007,,solid circle,#F56A29
Les initiatives territoriales,80478,Drôme,"En 2008, inauguration dans la Drôme du Pôle Numérique qui soutient le développement d'EPI
[Pôle Numérique de la Drôme](http://www.pole-numerique.fr/lepolenumerique.html) 
",2008,,solid circle,#F56A29
Les initiatives territoriales,80481,Basse-Normandie,"Intégration aux services de la Région en 2009 du CTN
[Source](http://epn.region-basse-normandie.fr/)",2009,,solid circle,#F56A29
Les initiatives territoriales,80480,Essone ,"Fin 2009, à la fin du dispositif départemental, l'APIE prend le relais portée par des animateurs
[Source](http://blog.epne.fr/lassociation/) ",2009,,solid circle,#F68121
Les initiatives territoriales,80479,Coraia,"Né de l'articulation de différents réseaux, la Coordination Rhône-Alpes de l'Internet Accompagné est « inaugurée » en janvier 2010 à Autrans
[Source](http://www.coraia.org/a-propos/) 
",2010,,solid circle,#F56A29
Les rencontres ,80483,Autrans,"Les premières rencontres d'Autrans se tiennent en janvier 1997.
Des rencontres  « animateurs d'EPN » s'y déroulent de 2001 à 2005.
Elles sont annuelles et animées par l'association Réso.
[Source](http://fr.wikipedia.org/wiki/Rencontres_Internet_d%27Autrans) 
[Source](http://www.ardesi.fr/Rencontre-des-animateurs-EPN-a) 
",01/1997,,solid circle,#7C399E
Les rencontres ,80482,Hourtin 1997,"Les universités d'Hourtin,  jusqu'en 2004  rassemblent acteurs de l'information, de la communication et du numérique.
En 1997, y est lancé le programme Cyber-poste
",1997,,solid circle,#7C399E
Les rencontres ,80484,REMICS,"En novembre 2001, Rencontres européennes du multimédia, de l'Internet citoyen et solidaire à Bordeaux 
Initiative du réseau I3C
[Source](http://www.artesi-idf.com/article.php?artno=2745&headLine=srubri) 
",2001,,solid circle,#7C399E
Les rencontres ,80485,SMSI Genève,"Le Somment mondial sur le Société de l'Information  se déroule en 2 phases : Genève en 2003, et Tunis en 2005. 
[Source](http://www.itu.int/wsis/index-fr.html)
",2003,,solid circle,#7C399E
Les rencontres ,80498,Forum des Usages Coopératifs,"En Juillet 2004, 1ère édition du Forum des Usages Coopératifs, les éditions se répètent tous les deux ans à Brest
[Source](http://www.a-brest.net/rubrique82.html) 
",07/2004,,solid circle,#7C399E
Les rencontres ,80500,MousTIC,"Depuis 2005, organisation annuelle de rencontres à Montpellier autour des « usages non marchands de l'internet »
[Source](http://www.moustic.info/wakka.php?wiki=PagePrincipale) 
",2005,,solid circle,#7C399E
Les rencontres ,80501,ROUMICS,"A partir de 2005, « Rencontres Ouvertes du Multimédia et de l'Internet Citoyen et Solidaire » organisées annuellement  par l'association ANIS (Nord - Pas de Calais)
[Source](http://www.roumics.com/) 
",2005,,solid circle,#7C399E
Les rencontres ,80491,SMSI Tunis,"Le Somment mondial sur le Société de l'Information  se déroule en 2 phases : Genève en 2003, et Tunis en 2005. 
[Source](http://www.itu.int/wsis/index-fr.html)
",2005,,solid circle,#7C399E
Les rencontres ,80499, Été TIC,"A partir de 2007,  en alternance avec le Forum des Usages (Brest) sont organisées à Rennes les Été TIC
[Source](http://www.generationcyb.net/4-5-et-6-juillet-2007-a-Rennes-Les,1109) 
",07/2007,,solid circle,#7C399E
Les rencontres ,106625,Assises de la médiation numérique ,"Co-organisées par la Collectivité territoriale de Corse et Créatif, les Assises rassemblent les acteurs de la médiation numérique pour co-construire son évolution. 
[source](http://assmednum.corse.fr/)",09/2011,,solid circle,#7518AB
Les acteurs et réseaux ,80502,Vécam,"En Février 1995, lancement de l'association, en réaction au G5
[Source](http://vecam.org/article326.html) 
",02/1995,,solid circle,#90BD2F
Les acteurs et réseaux ,80503,OUI,"L'Observatoire des Usages de l'Internet  est crée en 1998
[Source](http://www.oui.net/modules/tinyd0/index.php?id=18) 
",1998,,solid circle,#90BD2F
Les acteurs et réseaux ,82923,Fête de l'Internet,"Fin mars 1998 se déroule la première ""Fête de l'Internet"", à l'initiative de plusieurs associations et réseaux
""Source"";http://fr.wikipedia.org/wiki/F%C3%AAte_de_l%27Internet",03/1998,,solid circle,#90BD2F
Les acteurs et réseaux ,80504,FING,"En 2000, la Fondation Internet Nouvelle Génération est créée
[Source](http://fr.wikipedia.org/wiki/Fondation_Internet_nouvelle_g%C3%A9n%C3%A9ration) 
",2000,,solid circle,#90BD2F
Les acteurs et réseaux ,80505,Liste EPM,"En septembre 2000, création de la liste de discussion d'animateurs d'Espaces Publics Numériques
[Source](http://fr.groups.yahoo.com/group/espaces-publiques-multimedia/) 
",09/2000,,solid circle,#90BD2F
Les acteurs et réseaux ,80506,Créatif,"Suite à la création d'un collectif lors des Rencontres d'Autrans en 2000, création de l'association en 2001.
[Source](http://www.creatif-public.net/article559.html) 
",2001,,solid circle,#90BD2F
Les acteurs et réseaux ,80507,I3C,"2001, Création de l'Association « fédération de réseaux citoyens Internet Créatif Coopératifs Citoyens » 
[Source](http://www.journaldunet.com/dossiers/associations/i3c.shtml) 
",2001,,solid circle,#90BD2F
Les acteurs et réseaux ,80509,Appel pour l'Accès Public,"En 2002, plusieurs associations lancent un « Appel pour l'Accès Public à Internet »
[Source](http://vecam.org/article161.html) 
",2002,,solid circle,#90BD2F
Les acteurs et réseaux ,80508,Villes Internet,"Création de l'association en 2002. Le projet était auparavant porté par Vecam
[Source](http://vecam.org/article18.html) 
",2002,,solid circle,#90BD2F
Les acteurs et réseaux ,80510,Les Jeudis des EPN,"En 2003, l'association met en place des rencontres thématiques entre animateurs
[Source](http://jeudisepn.org/) 
",2003,,solid circle,#90BD2F
Les acteurs et réseaux ,80511,OTV/OTEN,"Décembre 2005, l'Observatoire des Télécommunications dans la Ville (1999) devient l'Observatoire des Territoires Numériques
[Source](http://www.oten.fr/spip.php?article3115) 
",12/2005,,solid circle,#90BD2F
Les acteurs et réseaux ,80512,Agence Nationale des Solidarités Actives,"Association créée en 2008, elle développe  le projet TIC'Actives
[Source](http://www.solidarites-actives.com/nos-thematiques/numerique-pour-tous-ticactives) 
",2008,,solid circle,#90BD2F
Les acteurs et réseaux ,927238,Appel national de soutien à la médiation numérique,[Source](http://www.coraia.org/wp-content/uploads/2013/03/2013_Appel_M%C3%A9diation_num%C3%A9rique.pdf) ,03/08/2013,,solid circle,#90BD2F
Les acteurs et réseaux ,927239,Rapport sur l'inclusion numérique du CNNum,"le rapport intitulé « Citoyens d’une société numérique – Accès, Littératie, Médiations, Pouvoir d’agir: pour une nouvelle politique d’inclusion » s’appuie sur des concertations organisées tout au long du printemps et de l’été 2013. Ces rencontres contributives ont rassemblé environ 60 personnes : associations, élus, médiateurs, représentants d’entreprises, fédérations professionnelles, administrations, experts et chercheurs.
[Source](http://www.cnnumerique.fr/inclusion/)  ",11/20/2013,,solid circle,#90BD2F
Politiques & programmes nationaux,80514,ECM (Espace Culture Multimédia),"Programme lancé à l'automne 97, de façon expérimentale
Ce programme est officiellement lancé en 1998. 
[Source](http://bbf.enssib.fr/consulter/10-theobalt.pdf)   
",1997,,solid circle,#3D61BD
Politiques & programmes nationaux,80513,PAGSI ,"Programme d'Action Gouvernemental pour la Société de l'Information crée le 16 janvier 1998, annoncé en août 97 à Hourtin. L'objectif annoncé est de « créer une Société de l'Information pour tous ».
",1/1998,,solid circle,#3D61BD
Politiques & programmes nationaux,80515,Cyber-Base,"En Octobre 1998, le programme est lancé par la CDC.
[Source](http://www.artesi.artesi-idf.com/public/article/cyberbase-cdc-tic.html?id=5256&crt=)

",10/1998,,solid circle,#3D61BD
Politiques & programmes nationaux,80519,CISI,"Le 20 juillet 2000, le Comité Interministériel sur la Société de l'Information décide de la mise en place du label « EPN », du PIM (Passeport Internet Multimédia) et de l'objectif de 400 CBB déployées en 4 ans.
",20 july 2000,,solid circle,#3D61BD
Politiques & programmes nationaux,80523,Point Cyb,"En Octobre 2000, le Ministère de la Jeunesse et des Sports  lance le dispositif.
En Décembre 2001, 473 Points-Cyb ont été labellisés.
",october 2000,,solid circle,#3D61BD
Politiques & programmes nationaux,80526,MAPI,"Mission inter-ministérielle pour l'accès public à la micro-informatique, à l'Internet et au multimédia mise en place en décembre 2000.
",december 2000,,solid circle,#3D61BD
Politiques & programmes nationaux,80536,OTV/DIV,"En 2001, première étude sur les EPN et la politique de la Ville
Avec la participation de Créatif, Vecam, Villes Internet
",2001,,solid circle,#3D61BD
Politiques & programmes nationaux,80529,CIADT,"Lors du CIADT (Comité interministériel d’aménagement et de développement du territoire) du 9 juillet 2001, le Gouvernement annonce la création de 400 EPN implantés dans les territoires ruraux et de 1000 EPN dans les quartiers politiques de la Ville. 
Budget de 30 MF  + 50 MF – Mise en œuvre ? 

",9 july 2001,,solid circle,#3D61BD
Politiques & programmes nationaux,80535,Charte EPN,"Circulaire du 23 août 2001
Relative à la mise en place des EPN
[Source](http://admi.net/jo/20010824/PRMX0105052C.html) 
",08/23/2001,,solid circle,#3D61BD
Politiques & programmes nationaux,80538,Plan RESO/2007,"Pour une REpublique numérique dans la SOciété 
de l’information du 13 novembre 2002 Objectif annoncé de «donner un nouvel élan à la société de l’information""
[Source](http://www.internet.gouv.fr/archives/rubrique090c-59325.html) 
",11/13/2002,,solid circle,#3D61BD
Politiques & programmes nationaux,80537,DUI,"Délégation aux Usages de l'Internet
Décembre 2003, mise en place de la DUI qui succède à la MAPI
Le premier Délégué est Benoit Sillard (2003-2007), auquel succède Gilles Fournier (2007-2007),  puis Bernard Benhamou (depuis 2007 )
[Source](http://fr.wikipedia.org/wiki/D%C3%A9l%C3%A9gation_aux_Usages_de_l%27Internet) 
",12/2003,,solid circle,#3D61BD
Politiques & programmes nationaux,80539,Internet Sans Craintes,"Programme National (lié à un programme Européen) à destination des enfants et familles
[Source](http://www.internetsanscrainte.fr/le-projet/programme-france-presentation)
",2005,,solid circle,#3D61BD
Politiques & programmes nationaux,80540,France Numérique 2012,"Une concertation nationale intègre la question de l'accès pour tous lors d'un atelier préparatoire
[Source](http://www.ladocumentationfrancaise.fr/rapports-publics/084000664/index.shtml)  - Actions N°26, 27 et 28
",03/2008,,solid circle,#3D61BD
Politiques & programmes nationaux,80541,Ordi 2.0,"Programme national de reconditionnement d'ordinateurs lancé en juin 2008
[Source](http://www.gouvernement.fr/gouvernement/lancement-du-programme-ordi-20-contre-la-fracture-numerique) 
",06/2008,,solid circle,#3D61BD
E n  E u r o p e,80542,eEurope,"En décembre 1999, la Commission propose une initiative, inscrite dans la Stratégie de Lisbonne.
[Source](http://europa.eu/legislation_summaries/information_society/l24221_en.htm) 
",12/1999,,solid circle,#22946A
E n  E u r o p e,80543,eEurope2002,"En 2001, priorité est donnée à l'accès aux réseaux, avec la mention du risque d'info-exclusion
[Source](http://europa.eu/legislation_summaries/information_society/l24226a_fr.htm) 

",2001,,solid circle,#22946A
E n  E u r o p e,80544,eEurope2005,"En mai 2002, initiative centrée sur l'accès aux services (santé, administration, etc.)
[Source](http://europa.eu/legislation_summaries/information_society/l24226_en.htm) 
",05/2002,,solid circle,#22946A
E n  E u r o p e,80545,eAccessibility,"En septembre 2005, Communication de la Commission centrée sur l'accessibilité. Introduit la notion de « Design For All »
[Source](http://europa.eu/legislation_summaries/information_society/l24226h_en.htm) 
",09/2005,,solid circle,#22946A
E n  E u r o p e,80546,Déclaration de Riga,"En Juin 2006 cette déclaration ministérielle européenne réaffirme des intentions autour de l'accès pour tous. 
[Source](http://tinyurl.com/2a7zq97) 
",06/2006,,solid circle,#22946A
E n  E u r o p e,80547,i2010,"En Novembre 2007, initiative de la Commission Européenne  sur l'insertion numérique 
[Source](http://tinyurl.com/33z4q4l) 
",11/2007,,solid circle,#22946A
E n  E u r o p e,80553,Vienne,"Conférence Européenne sur la e-inclusion
[Source](http://ec.europa.eu/information_society/events/e-inclusion/2008/conference/index_en.htm) 
",11/2008,,solid circle,#22946A
E n  E u r o p e,80550,Vers une société de l'Information accessible,"En décembre 2008, Communication de la Commission Européenne  qui considère nécessaire de renforcer une approche commune de l'accessibilité numérique et du web. 
[Source](http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=COM:2008:0804:FIN:FR:HTML) 
",12/2008,,solid circle,#22946A
E n  E u r o p e,80555,Agenda Numérique pour l'Europe,"En 2010, définition d'une nouvelle stratégie européenne «Europe 2020 », l'Agenda Numérique en est un des 7 « piliers ».
Les thèmes liés à l'inclusion numérique se retrouvent dans le volet « Enhancing eSkills » 
[Source](http://ec.europa.eu/information_society/digital-agenda/index_en.htm) 
",2010,,solid circle,#22946A
E n  E u r o p e,80556,Telecentre Europe,"En octobre 2010, création officielle de l'association européenne «Telecentre Europe», rassemblant les réseaux de l'accès public au numérique
[Source](http://www.telecentre-europe.org/content/about_us/history.php) 
",10/2010,,solid circle,#22946A
Sources,80557,Les dates non sourcées dans leur descriptif proviennent des sources suivantes:,"'- [Arnaud M., Perriault J., Les espaces publics d’accès à Internet, - PUF, Paris, novembre 2002, 219 p., p.7 à 23](http://foad.refer.org/IMG/pdf/EC_311_M2CGPNT_pol_publiq.pdf)
- [e-Inclusion in the Information Society  - Elisa Mancinelli - Budapest, July 2007](www.ittk.hu/netis/doc/ISCB_eng/10_Mancinelli_final.pdf)
- [Recensement des initiatives régionales OTEN](http://www.oten.fr/spip.php?rubrique3) 
- [Programmes régionaux et départementaux – Netpublic](http://www.netpublic.fr/net-public/espaces-publics-numeriques/programmes-reseaux-labels/)
- [Rapide historique de l'accès public](http://www.a-brest.net/article6486.html)

ont contribué à cette frise: Yoann Duriaux, Marie-Hélène Feron, Guy Pastre, @cyberguillaume, Florence Labord, Marianne Massaloux",1997,,solid circle,#807B77
